,택배 착지량,x,y,경도,위도
257,4856383,314776,552889,171.6239004,27.57790796
258,4856584,314742,552887,171.6252346,27.57709908
259,4882185,314354,553237,171.8078144,27.49933224
260,4851262,314369,552885,171.5856932,27.5903494
261,4867589,314112,553175,171.702279,27.54070871
262,4858877,314476,553145,171.6408539,27.5686531
263,4865869,312594,553073,171.6849157,27.53604272
264,4923387,313955,552831,172.1009038,27.37552699
265,4870907,314109,553472,171.7260986,27.53093369
266,606006,314252,553469,131.5153514,36.24096803
267,4849514,314207,552641,171.572569,27.59444675
268,4855661,314645,553005,171.6182725,27.57919031
269,4867314,314039,552861,171.7000626,27.54104978
270,4852393,314122,553403,171.5930227,27.58544084
271,4852522,314540,552884,171.5953303,27.58774335
272,4853162,314453,552888,171.5996512,27.5853042
273,4853428,314491,552884,171.6016915,27.58476615
274,4872624,314062,552912,171.7382701,27.52558411
275,4851845,314667,553039,171.5908745,27.59054793
276,4857382,314644,553055,171.6306531,27.57412489
277,4864684,314183,553001,171.6816399,27.54970421
278,4849722,314371,552820,171.5746082,27.594888
279,4863492,314538,552957,171.6742434,27.55548288
280,4853873,314094,552975,171.6035855,27.58091174
281,1414251,314017,553310,140.3566878,35.57415845
282,4876417,314099,552735,171.7656113,27.51466675
283,4852914,314536,553010,171.5981395,27.58656555
284,4853541,314307,552795,171.6018981,27.58325375
285,4855258,314248,553005,171.6140626,27.57782891
286,4856051,314598,552952,171.6209241,27.57774252
287,4853613,314253,552884,171.6022383,27.58269576
288,4856147,314312,552904,171.6206715,27.57562638
289,4850862,314019,552799,171.5816581,27.58927909
290,4928659,314194,552917,172.1392298,27.36152093
291,4856207,314492,552945,171.621697,27.57660425
292,4898671,314453,552770,171.9261617,27.45145764
293,4861586,314407,552944,171.6601087,27.56024711
294,4893883,314140,553048,171.8908831,27.46355019
295,4872675,313999,553036,171.7384284,27.52503098
296,4854358,314254,552794,171.6076045,27.58051259
297,4855290,314301,553010,171.6144677,27.57807476
298,4868892,314134,552952,171.7117109,27.53701851
299,4850487,313995,553159,171.5788782,27.59022704
300,4866307,313946,553141,171.692521,27.54341474
301,4901713,314222,553189,171.9471445,27.44103173
302,4851193,314173,553525,171.5845498,27.58929456
303,4888617,314147,553326,171.8532124,27.47908829
304,4851134,314345,553164,171.5846922,27.59057158
305,4863053,314054,553137,171.6694912,27.55367261
306,4882814,314059,552996,171.8113497,27.49559656
307,4877053,313957,552970,171.7697054,27.51188812
308,4864511,314199,552804,171.6804493,27.55031531
309,2424078,314308,553433,150.8005332,33.91984177
310,4854816,314226,553398,171.6108088,27.57898691
311,4863026,314256,553111,171.6699634,27.55504621
312,4874288,314114,553093,171.7503847,27.52102366
313,4853930,314413,553045,171.6050481,27.58279037
314,4880486,314005,552686,171.7944836,27.50209866
315,4853031,314532,553156,171.5989686,27.586196
316,2424078,314243,553441,150.8003749,33.91930576
317,4895246,314469,553206,171.9017197,27.46163909
318,4888523,314125,553219,171.8524667,27.47922433
319,4853617,314398,553306,171.6027454,27.5836141
320,4647342,314203,553483,170.093812,28.18640037
321,4859515,314534,553072,171.6456343,27.56714935
322,4876371,314228,553254,171.7657068,27.51562717
323,4859017,314416,553133,171.641663,27.56785695
324,4862259,314159,553435,171.6641294,27.5566795
325,4911791,314419,553203,172.0197625,27.41262184
326,4856666,314212,553322,171.6240763,27.57345967
327,4862900,314347,553329,171.6693578,27.55599967
328,4887641,314433,553263,171.8471664,27.48378637
329,4859943,314294,553303,171.6479209,27.56435288
330,4866630,314192,552602,171.6956532,27.54404058
331,4925032,314140,552563,172.11323,27.37185923
332,4854021,314202,552697,171.6050071,27.58116951
333,4921252,313993,552619,172.0858189,27.38205517
334,4853476,314248,552695,171.6012355,27.58306633
335,4860284,314295,552695,171.6503766,27.56335688
336,4852854,314419,552882,171.5973215,27.58599134
337,4853307,314137,552656,171.5996528,27.58285097
338,4852914,314363,552745,171.5975688,27.58545575
339,4858594,314132,552804,171.6376835,27.56727981
